S#No#,State Code,State Name ,District Code,District Name ,Sub-District Code,Sub-District Name,Village Code,Village Version,Village Name,Village Name Local,Village Status,Census 2001 Code,Census 2011 Code,SheetName,,,
138,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,923058,4,Traphoo,,Inhabitant,,0,Report$,,,
139,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3711,4,Shalwan Pora,,Inhabitant,254300,3711,Report$,,,
140,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3708,4,Sofi Gund Bago Gund,,Inhabitant,250500,3708,Report$,,,
141,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3687,4,Wani Hama,,Inhabitant,240800,3687,Report$,,,
142,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3701,4,Imoh,,Inhabitant,242200,3701,Report$,,,
143,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3685,4,Srundoo,,Inhabitant,240600,3685,Report$,,,
144,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3698,4,Fateh Pora,,Inhabitant,241900,3698,Report$,,,
145,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,923164,4,Lalipora Malpora,,Inhabitant,,0,Report$,,,
146,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,923056,4,Khundroo,,Inhabitant,,0,Report$,,,
147,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3703,4,Rakh Tailwani,,Inhabitant,242800,3703,Report$,,,
148,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3731,4,Ullbugnowgam,,Inhabitant,,3731,Report$,,,
149,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3739,5,Khandipahari,,Inhabitant,,3739,Report$,,,
150,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3695,5,Gunoora,,Inhabitant,241600,3695,Report$,,,
151,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3676,5,Tailwani,,Inhabitant,239700,3676,Report$,,,
152,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3688,5,Pethdailgam,,Inhabitant,240900,3688,Report$,,,
153,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3714,5,Chirhama,,Inhabitant,254800,3714,Report$,,,
154,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3691,5,Lalan,,Inhabitant,241200,3691,Report$,,,
155,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3717,5,Furrah,,Inhabitant,257800,3717,Report$,,,
156,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3699,5,Palpora,,Inhabitant,242000,3699,Report$,,,
157,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3697,5,Hurdischan,,Inhabitant,241800,3697,Report$,,,
158,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3716,5,Nawathoo,,Inhabitant,257700,3716,Report$,,,
159,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3729,5,Bonidialgam,,Inhabitant,,3729,Report$,,,
160,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3720,5,Nipora,,Inhabitant,262800,3720,Report$,,,
